timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719902188967,833,HTTP Request,200,OK,CollegeStudents 1-1,text,true,,105309,298,9,9,https://www.shivajicollege.ac.in/aboutus/the_college.php,62,0,28
1719902188967,62,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-1,text,true,,738,149,9,9,http://www.shivajicollege.ac.in/aboutus/the_college.php,62,0,28
1719902189030,770,HTTP Request-1,200,OK,CollegeStudents 1-1,text,true,,104571,149,9,9,https://www.shivajicollege.ac.in/aboutus/the_college.php,731,0,57
1719902189063,879,HTTP Request,200,OK,CollegeStudents 1-2,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,52,0,23
1719902189063,52,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-2,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,52,0,23
1719902189115,827,HTTP Request-1,200,OK,CollegeStudents 1-2,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,802,0,61
1719902189163,1047,HTTP Request,200,OK,CollegeStudents 1-3,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,47,0,12
1719902189163,47,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-3,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,47,0,12
1719902189210,1000,HTTP Request-1,200,OK,CollegeStudents 1-3,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,969,0,39
1719902189264,1328,HTTP Request,200,OK,CollegeStudents 1-4,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,243,0,11
1719902189264,243,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-4,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,243,0,11
1719902189508,1084,HTTP Request-1,200,OK,CollegeStudents 1-4,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1031,0,40
1719902189363,1358,HTTP Request,200,OK,CollegeStudents 1-5,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,144,0,11
1719902189363,144,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-5,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,144,0,11
1719902189508,1213,HTTP Request-1,200,OK,CollegeStudents 1-5,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1194,0,44
1719902189460,1470,HTTP Request,200,OK,CollegeStudents 1-6,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,47,0,11
1719902189460,47,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-6,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,47,0,11
1719902189508,1422,HTTP Request-1,200,OK,CollegeStudents 1-6,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1391,0,45
