"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Library","Reporting_Utility","GenerateCSVReport","groovy","OK","","04-Jul-2024 10_02",
"TestSuite2","Add TestCase","Add","request","OK","","04-Jul-2024 10_02",
"TestSuite2","Add TestCase","Properties","properties","OK","","04-Jul-2024 10_02",
"TestSuite2","Add TestCase","Login Properties","properties","OK","","04-Jul-2024 10_02",
"TestSuite2","Divide TestCase","Divide","request","OK","","04-Jul-2024 10_02",
"TestSuite2","Multiply TestCase","Multiply","request","OK","","04-Jul-2024 10_02",
"TestSuite2","Subtract TestCase","Subtract","request","OK","","04-Jul-2024 10_02",
"TestSuite1","Add TestCase","Add","request","OK","","04-Jul-2024 10_02",
"TestSuite1","Divide TestCase","Divide","request","OK","","04-Jul-2024 10_02",
"TestSuite1","Multiply TestCase","Multiply","request","OK","","04-Jul-2024 10_02",
"TestSuite1","Subtract TestCase","Subtract","request","OK","","04-Jul-2024 10_02",
"Library","Reporting_Utility","GenerateCSVReport","groovy","OK","","04-Jul-2024 10_02",
